MONTH,BOROUGH,COMMUNITYDISTRICT,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED,BOROUGH_ID,BoroCD
2014 / 10,Bronx,11,3063.01,294.05,271.38,2,211
2014 / 10,Brooklyn,07,3358.65,425.01,350.38,3,307
2014 / 10,Staten Island,01,5139.6,649.41,564.26,5,501
2014 / 10,Bronx,06,2133.22,108.46,136.87,2,206
2014 / 10,Brooklyn,11,5000.86,663.99,438.22,3,311
2014 / 11,Bronx,12,3499.7,322.23,371.3,2,212
2014 / 11,Queens,04,3860.97,300.49,250.67,4,404
2014 / 11,Bronx,11,2890.06,271.35,238.84,2,211
2014 / 11,Queens,10,3506.78,358.47,318.19,4,410
2014 / 11,Brooklyn,12,5900.29,648.14,322.13,3,312
2014 / 11,Bronx,05,3238.51,193.7,235.04,2,205
2014 / 11,Manhattan,02,2015.56,437.69,278.4,1,102
2014 / 11,Queens,03,4371.7,327.54,316.49,4,403
2014 / 11,Manhattan,01,1293.26,331.18,192.39,1,101
2014 / 11,Manhattan,09,2344.4,257.76,202.57,1,109
2014 / 11,Manhattan,10,2653.45,208.45,162.06,1,110
2014 / 11,Bronx,10,2378.88,307.41,267.91,2,210
2014 / 11,Manhattan,07,5047.27,1095.8,643.91,1,107
2014 / 11,Staten Island,01,4822.98,601.68,470.17,5,501
2014 / 11,Queens,14,2782.04,210.88,156.68,4,414
2014 / 11,Brooklyn,13,1958.68,147.84,130.79,3,313
2014 / 11,Bronx,06,1974.92,102.75,117.75,2,206
2014 / 11,Queens,07,6294.2,778.78,509.65,4,407
2014 / 11,Queens,02,2651.18,363.34,272.16,4,402
2014 / 11,Queens,06,2706.48,394.84,259.4,4,406
2014 / 11,Manhattan,08,5397.78,1135.49,683.66,1,108
2014 / 11,Brooklyn,01,4825.88,450.04,330.21,3,301
2014 / 11,Queens,13,5039.59,474.34,505.82,4,413
2014 / 11,Brooklyn,07,3082.48,394.8,314.72,3,307
2014 / 11,Queens,11,3149.98,475.74,317.33,4,411
2014 / 11,Brooklyn,06,2137.17,554.69,342.61,3,306
2014 / 11,Queens,05,4541.44,621.96,527.33,4,405
2014 / 11,Brooklyn,15,4324.71,572.12,356.66,3,315
2014 / 11,Manhattan,04,2199.1,423.65,313.9,1,104
2014 / 11,Queens,01,3895.81,542.82,466.05,4,401
2014 / 11,Bronx,02,1418.61,61.99,75.67,2,202
2014 / 11,Bronx,04,3933.02,188.77,203.69,2,204
2014 / 11,Brooklyn,09,2892.3,216.17,153.48,3,309
2014 / 11,Manhattan,11,2084.31,194.59,155.07,1,111
2014 / 11,Queens,12,6055.21,430.3,529.57,4,412
2014 / 11,Brooklyn,14,4683.93,444.42,284.9,3,314
